Ursprungsname;Anteil_NA;Anzahl_unters_Werte;Analysename
l_art_wertrelevante_nutzung;6.41;5;
l_artbezahlung;1.66;5;
l_bad;4.35;4;
l_balkon_terrasse;48.58;7;
l_basisjahr;0;1;
l_baukonstruktion_hg;2.91;7;
l_bauzustand_hg;6.19;6;
l_bearbeitungsvermerk;0;5;
l_bezugsmassstab;99.52;1;
l_brennstoffart_hg;31.7;9;
l_brw_beitragszustand;1.11;2;
l_brw_erg_nutzungsart;90.9;9;
l_brw_erschliessungszustand;88.87;1;
l_brw_nutzungsart;0.96;5;
l_daemmung_aussen;99.96;1;
l_daemmung_dach;99.96;1;
l_daemmung_hg;78.77;6;
l_do_ausstattungsklasse_hg_iris;12.16;8;
l_entnahmehinweis;94.4;3;
l_entwicklungszustand_baureif;0;1;
l_erschliessungszustand;66.53;2;
l_erwerber;0;11;
l_gabez;0;1;
l_gaestewc;20.35;3;
l_gebaeudeart_erg_hg;1.11;12;
l_gebaeudeart_hg;0.07;4;
l_gebietsunterteilung;99.12;6;
l_gemeinde;0;3;
l_gemeindekennzeichen;0;3;
l_geschossdecken_hg;61.89;3;
l_geschosslage;5.75;20;
l_grundrissgestaltung_hg;33.06;2;
l_grundstuecksart;87.87;6;
l_grundstuecksausrichtung;95.98;8;
l_grundstueckszuschnitt;93.96;2;
l_heizung_hg;47.29;8;
l_immissionen;99.45;1;
l_kauffallgeeignet;0;1;
l_laendererwerber;98.42;20;
l_laenderverkaeufer;98.12;23;
l_modernisierungsgrad_hg;44.93;5;
l_modernisierungstyp_text_hg;50.09;8;
l_notar;0;322;
l_nutzungsart;0;7;
l_nutzungsgruppe_hg;98.56;3;
l_ortsteil;0;29;Ortsteil
l_planungsrecht_oertlich;84.19;4;
l_planungsrechtliche_festsetzung;97.01;5;
l_rechtsvorgang;0;2;
l_region;4.83;4;
l_sachbearbeiter;0;99;
l_strasse;0;480;
l_strassenausbauzustand;89.83;1;
l_verkaeufer;0;17;
l_verkaufsumstand_wte;0;3;
l_verkehrsanbindung;99.45;1;
l_vermietungssituation_hg;8.48;3;
l_wertnach_hg;53.81;3;
l_wohnlage;0.11;7;Lage
l_zentralitaet;57.61;5;
lagebezeichnung;82.23;283;
liegenschaftszinssatz;5.9;700;
lzs_geeignet;88.43;2;
me_teileigentum_nenner;99.85;1;
me_teileigentum_zaehler;99.85;1;
me_wohnung_nenner;0.04;25;
me_wohnung_zaehler;0.04;1490;
mittlerebreite;98.27;21;
mittleretiefe;98.16;22;
mod_baeder;87.1;3;
mod_dacherneuerung;92;4;
mod_fenster_aussentueren;88.13;2;
mod_grundriss;98.19;3;
mod_heizungsanlage;88.98;3;
mod_innenausbau;86.29;2;
mod_leitungssysteme;94.91;2;
mod_waermedaemmung;96.13;4;
modernisierungsjahr_hg;94.4;34;
modernisierungstyp_hg;41.21;20;
nebenflaeche;99.82;5;
nebenflaeche_absbw;99.85;4;
nebenflaeche_relbw;99.85;4;
nrjahr;0;7;
objektkennung;92.66;197;
plz;99.96;1;
plzerwerber;4.98;414;
plzverkaeufer;5.79;473;
preisanteil;53.81;52;
raumanzahl;6.82;11;
regnr;0;1764;
