Ursprungsname;Anteil_NA;Anzahl_unters_Werte;Analysename
t_gemarkung.item.l_bezugssystem.12;99.37;1;
t_gemarkung.item.l_gemarkung;0;7;
t_gemarkung.item.l_gemarkung.02;76.59;7;
t_gemarkung.item.l_gemarkung.03;90.42;6;
t_gemarkung.item.l_gemarkung.04;92.59;4;
t_gemarkung.item.l_gemarkung.05;94.66;4;
t_gemarkung.item.l_gemarkung.06;96.06;4;
t_gemarkung.item.l_gemarkung.07;97.49;3;
t_gemarkung.item.l_gemarkung.08;98.01;3;
t_gemarkung.item.l_gemarkung.09;98.78;3;
t_gemarkung.item.l_gemarkung.10;99.37;2;
t_gemarkung.item.l_gemarkung.11;99.37;2;
t_gemarkung.item.l_gemarkung.12;99.37;2;
t_gemarkung.item.l_gemarkungnr;0;7;
t_gemarkung.item.l_gemarkungnr.02;76.59;7;
t_gemarkung.item.l_gemarkungnr.03;90.42;6;
t_gemarkung.item.l_gemarkungnr.04;92.59;4;
t_gemarkung.item.l_gemarkungnr.05;94.66;4;
t_gemarkung.item.l_gemarkungnr.06;96.06;4;
t_gemarkung.item.l_gemarkungnr.07;97.49;3;
t_gemarkung.item.l_gemarkungnr.08;98.01;3;
t_gemarkung.item.l_gemarkungnr.09;98.78;3;
t_gemarkung.item.l_gemarkungnr.10;99.37;2;
t_gemarkung.item.l_gemarkungnr.11;99.37;2;
t_gemarkung.item.l_gemarkungnr.12;99.37;2;
t_gemarkung.item.rechtswert;0;1054;Rechtswert
t_gemarkung.item.rechtswert.02;76.59;277;
t_gemarkung.item.rechtswert.03;90.42;107;
t_gemarkung.item.rechtswert.04;92.59;74;
t_gemarkung.item.rechtswert.05;94.66;54;
t_gemarkung.item.rechtswert.06;96.06;41;
t_gemarkung.item.rechtswert.07;97.49;29;
t_gemarkung.item.rechtswert.08;98.01;27;
t_gemarkung.item.rechtswert.09;98.78;7;
t_gemarkung.item.rechtswert.10;99.37;3;
t_gemarkung.item.rechtswert.11;99.37;3;
t_gemarkung.item.rechtswert.12;99.37;3;
t_grundbuch.item.grundbuchblatt;0.15;2416;
t_grundbuch.item.grundbuchblatt.02;76.74;567;
t_grundbuch.item.grundbuchblatt.03;93.84;140;
t_grundbuch.item.grundbuchblatt.04;95.47;96;
t_grundbuch.item.grundbuchblatt.05;96.61;68;
t_grundbuch.item.grundbuchblatt.06;96.9;60;
t_grundbuch.item.grundbuchblatt.07;97.42;46;
t_grundbuch.item.grundbuchblatt.08;97.53;43;
t_grundbuch.item.grundbuchblatt.09;98.23;36;
t_grundbuch.item.grundbuchblatt.10;98.27;36;
t_grundbuch.item.grundbuchblatt.100;99.96;1;
t_grundbuch.item.grundbuchblatt.11;98.3;34;
t_grundbuch.item.grundbuchblatt.110;99.96;1;
t_grundbuch.item.grundbuchblatt.111;99.96;1;
t_grundbuch.item.grundbuchblatt.112;99.96;1;
t_grundbuch.item.grundbuchblatt.113;99.96;1;
t_grundbuch.item.grundbuchblatt.114;99.96;1;
t_grundbuch.item.grundbuchblatt.115;99.96;1;
t_grundbuch.item.grundbuchblatt.116;99.96;1;
t_grundbuch.item.grundbuchblatt.117;99.96;1;
t_grundbuch.item.grundbuchblatt.118;99.96;1;
t_grundbuch.item.grundbuchblatt.119;99.96;1;
t_grundbuch.item.grundbuchblatt.12;98.34;33;
t_grundbuch.item.grundbuchblatt.120;99.96;1;
t_grundbuch.item.grundbuchblatt.121;99.96;1;
t_grundbuch.item.grundbuchblatt.122;99.96;1;
t_grundbuch.item.grundbuchblatt.123;99.96;1;
t_grundbuch.item.grundbuchblatt.124;99.96;1;
t_grundbuch.item.grundbuchblatt.125;99.96;1;
t_grundbuch.item.grundbuchblatt.126;99.96;1;
t_grundbuch.item.grundbuchblatt.127;99.96;1;
t_grundbuch.item.grundbuchblatt.128;99.96;1;
t_grundbuch.item.grundbuchblatt.129;99.96;1;
t_grundbuch.item.grundbuchblatt.13;98.42;31;
t_grundbuch.item.grundbuchblatt.130;99.96;1;
t_grundbuch.item.grundbuchblatt.131;99.96;1;
t_grundbuch.item.grundbuchblatt.132;99.96;1;
t_grundbuch.item.grundbuchblatt.133;99.96;1;
t_grundbuch.item.grundbuchblatt.134;99.96;1;
t_grundbuch.item.grundbuchblatt.135;99.96;1;
t_grundbuch.item.grundbuchblatt.136;99.96;1;
t_grundbuch.item.grundbuchblatt.137;99.96;1;
t_grundbuch.item.grundbuchblatt.138;99.96;1;
t_grundbuch.item.grundbuchblatt.139;99.96;1;
t_grundbuch.item.grundbuchblatt.14;98.42;31;
t_grundbuch.item.grundbuchblatt.140;99.96;1;
t_grundbuch.item.grundbuchblatt.141;99.96;1;
t_grundbuch.item.grundbuchblatt.142;99.96;1;
t_grundbuch.item.grundbuchblatt.143;99.96;1;
t_grundbuch.item.grundbuchblatt.144;99.96;1;
t_grundbuch.item.grundbuchblatt.145;99.96;1;
t_grundbuch.item.grundbuchblatt.146;99.96;1;
t_grundbuch.item.grundbuchblatt.147;99.96;1;
t_grundbuch.item.grundbuchblatt.148;99.96;1;
t_grundbuch.item.grundbuchblatt.149;99.96;1;
t_grundbuch.item.grundbuchblatt.15;98.71;29;
t_grundbuch.item.grundbuchblatt.150;99.96;1;
t_grundbuch.item.grundbuchblatt.151;99.96;1;
t_grundbuch.item.grundbuchblatt.152;99.96;1;
t_grundbuch.item.grundbuchblatt.153;99.96;1;
t_grundbuch.item.grundbuchblatt.154;99.96;1;
t_grundbuch.item.grundbuchblatt.155;99.96;1;
t_grundbuch.item.grundbuchblatt.156;99.96;1;
t_grundbuch.item.grundbuchblatt.157;99.96;1;
t_grundbuch.item.grundbuchblatt.158;99.96;1;
t_grundbuch.item.grundbuchblatt.159;99.96;1;
t_grundbuch.item.grundbuchblatt.16;98.75;28;
t_grundbuch.item.grundbuchblatt.160;99.96;1;
t_grundbuch.item.grundbuchblatt.161;99.96;1;
t_grundbuch.item.grundbuchblatt.162;99.96;1;
t_grundbuch.item.grundbuchblatt.163;99.96;1;
t_grundbuch.item.grundbuchblatt.164;99.96;1;
t_grundbuch.item.grundbuchblatt.165;99.96;1;
t_grundbuch.item.grundbuchblatt.166;99.96;1;
t_grundbuch.item.grundbuchblatt.167;99.96;1;
t_grundbuch.item.grundbuchblatt.168;99.96;1;
t_grundbuch.item.grundbuchblatt.169;99.96;1;
t_grundbuch.item.grundbuchblatt.17;98.82;25;
t_grundbuch.item.grundbuchblatt.170;99.96;1;
t_grundbuch.item.grundbuchblatt.171;99.96;1;
t_grundbuch.item.grundbuchblatt.172;99.96;1;
t_grundbuch.item.grundbuchblatt.173;99.96;1;
t_grundbuch.item.grundbuchblatt.174;99.96;1;
t_grundbuch.item.grundbuchblatt.175;99.96;1;
t_grundbuch.item.grundbuchblatt.176;99.96;1;
t_grundbuch.item.grundbuchblatt.177;99.96;1;
t_grundbuch.item.grundbuchblatt.178;99.96;1;
t_grundbuch.item.grundbuchblatt.179;99.96;1;
t_grundbuch.item.grundbuchblatt.18;99;22;
t_grundbuch.item.grundbuchblatt.180;99.96;1;
t_grundbuch.item.grundbuchblatt.181;99.96;1;
t_grundbuch.item.grundbuchblatt.182;99.96;1;
t_grundbuch.item.grundbuchblatt.183;99.96;1;
t_grundbuch.item.grundbuchblatt.184;99.96;1;
t_grundbuch.item.grundbuchblatt.185;99.96;1;
t_grundbuch.item.grundbuchblatt.186;99.96;1;
t_grundbuch.item.grundbuchblatt.187;99.96;1;
t_grundbuch.item.grundbuchblatt.188;99.96;1;
t_grundbuch.item.grundbuchblatt.189;99.96;1;
t_grundbuch.item.grundbuchblatt.19;99.08;20;
t_grundbuch.item.grundbuchblatt.190;99.96;1;
t_grundbuch.item.grundbuchblatt.191;99.96;1;
t_grundbuch.item.grundbuchblatt.192;99.96;1;
t_grundbuch.item.grundbuchblatt.193;99.96;1;
t_grundbuch.item.grundbuchblatt.194;99.96;1;
t_grundbuch.item.grundbuchblatt.195;99.96;1;
t_grundbuch.item.grundbuchblatt.196;99.96;1;
t_grundbuch.item.grundbuchblatt.197;99.96;1;
t_grundbuch.item.grundbuchblatt.198;99.96;1;
t_grundbuch.item.grundbuchblatt.199;99.96;1;
t_grundbuch.item.grundbuchblatt.20;99.08;20;
t_grundbuch.item.grundbuchblatt.200;99.96;1;
t_grundbuch.item.grundbuchblatt.201;99.96;1;
t_grundbuch.item.grundbuchblatt.202;99.96;1;
t_grundbuch.item.grundbuchblatt.203;99.96;1;
t_grundbuch.item.grundbuchblatt.204;99.96;1;
t_grundbuch.item.grundbuchblatt.205;99.96;1;
t_grundbuch.item.grundbuchblatt.206;99.96;1;
t_grundbuch.item.grundbuchblatt.207;99.96;1;
t_grundbuch.item.grundbuchblatt.208;99.96;1;
t_grundbuch.item.grundbuchblatt.209;99.96;1;
t_grundbuch.item.grundbuchblatt.21;99.12;18;
t_grundbuch.item.grundbuchblatt.210;99.96;1;
t_grundbuch.item.grundbuchblatt.211;99.96;1;
t_grundbuch.item.grundbuchblatt.212;99.96;1;
t_grundbuch.item.grundbuchblatt.213;99.96;1;
t_grundbuch.item.grundbuchblatt.214;99.96;1;
t_grundbuch.item.grundbuchblatt.215;99.96;1;
t_grundbuch.item.grundbuchblatt.216;99.96;1;
t_grundbuch.item.grundbuchblatt.217;99.96;1;
t_grundbuch.item.grundbuchblatt.218;99.96;1;
t_grundbuch.item.grundbuchblatt.219;99.96;1;
t_grundbuch.item.grundbuchblatt.22;99.15;18;
t_grundbuch.item.grundbuchblatt.220;99.96;1;
t_grundbuch.item.grundbuchblatt.221;99.96;1;
t_grundbuch.item.grundbuchblatt.222;99.96;1;
t_grundbuch.item.grundbuchblatt.223;99.96;1;
t_grundbuch.item.grundbuchblatt.224;99.96;1;
t_grundbuch.item.grundbuchblatt.225;99.96;1;
t_grundbuch.item.grundbuchblatt.226;99.96;1;
t_grundbuch.item.grundbuchblatt.227;99.96;1;
t_grundbuch.item.grundbuchblatt.228;99.96;1;
t_grundbuch.item.grundbuchblatt.229;99.96;1;
t_grundbuch.item.grundbuchblatt.23;99.15;18;
t_grundbuch.item.grundbuchblatt.230;99.96;1;
t_grundbuch.item.grundbuchblatt.231;99.96;1;
t_grundbuch.item.grundbuchblatt.232;99.96;1;
t_grundbuch.item.grundbuchblatt.233;99.96;1;
t_grundbuch.item.grundbuchblatt.234;99.96;1;
t_grundbuch.item.grundbuchblatt.235;99.96;1;
t_grundbuch.item.grundbuchblatt.236;99.96;1;
t_grundbuch.item.grundbuchblatt.237;99.96;1;
t_grundbuch.item.grundbuchblatt.238;99.96;1;
t_grundbuch.item.grundbuchblatt.239;99.96;1;
t_grundbuch.item.grundbuchblatt.24;99.15;18;
t_grundbuch.item.grundbuchblatt.240;99.96;1;
t_grundbuch.item.grundbuchblatt.241;99.96;1;
t_grundbuch.item.grundbuchblatt.242;99.96;1;
t_grundbuch.item.grundbuchblatt.243;99.96;1;
t_grundbuch.item.grundbuchblatt.244;99.96;1;
t_grundbuch.item.grundbuchblatt.245;99.96;1;
t_grundbuch.item.grundbuchblatt.246;99.96;1;
t_grundbuch.item.grundbuchblatt.247;99.96;1;
t_grundbuch.item.grundbuchblatt.248;99.96;1;
t_grundbuch.item.grundbuchblatt.249;99.96;1;
t_grundbuch.item.grundbuchblatt.25;99.23;16;
t_grundbuch.item.grundbuchblatt.250;99.96;1;
t_grundbuch.item.grundbuchblatt.251;99.96;1;
t_grundbuch.item.grundbuchblatt.252;99.96;1;
t_grundbuch.item.grundbuchblatt.253;99.96;1;
t_grundbuch.item.grundbuchblatt.254;99.96;1;
t_grundbuch.item.grundbuchblatt.255;99.96;1;
t_grundbuch.item.grundbuchblatt.256;99.96;1;
t_grundbuch.item.grundbuchblatt.257;99.96;1;
t_grundbuch.item.grundbuchblatt.258;99.96;1;
t_grundbuch.item.grundbuchblatt.259;99.96;1;
t_grundbuch.item.grundbuchblatt.26;99.26;16;
t_grundbuch.item.grundbuchblatt.260;99.96;1;
t_grundbuch.item.grundbuchblatt.261;99.96;1;
t_grundbuch.item.grundbuchblatt.262;99.96;1;
t_grundbuch.item.grundbuchblatt.263;99.96;1;
t_grundbuch.item.grundbuchblatt.264;99.96;1;
t_grundbuch.item.grundbuchblatt.265;99.96;1;
t_grundbuch.item.grundbuchblatt.266;99.96;1;
t_grundbuch.item.grundbuchblatt.267;99.96;1;
t_grundbuch.item.grundbuchblatt.268;99.96;1;
t_grundbuch.item.grundbuchblatt.269;99.96;1;
t_grundbuch.item.grundbuchblatt.27;99.26;14;
t_grundbuch.item.grundbuchblatt.270;99.96;1;
t_grundbuch.item.grundbuchblatt.271;99.96;1;
t_grundbuch.item.grundbuchblatt.272;99.96;1;
t_grundbuch.item.grundbuchblatt.273;99.96;1;
t_grundbuch.item.grundbuchblatt.274;99.96;1;
t_grundbuch.item.grundbuchblatt.275;99.96;1;
t_grundbuch.item.grundbuchblatt.276;99.96;1;
t_grundbuch.item.grundbuchblatt.277;99.96;1;
t_grundbuch.item.grundbuchblatt.278;99.96;1;
t_grundbuch.item.grundbuchblatt.279;99.96;1;
t_grundbuch.item.grundbuchblatt.28;99.34;14;
t_grundbuch.item.grundbuchblatt.280;99.96;1;
t_grundbuch.item.grundbuchblatt.281;99.96;1;
t_grundbuch.item.grundbuchblatt.282;99.96;1;
t_grundbuch.item.grundbuchblatt.283;99.96;1;
t_grundbuch.item.grundbuchblatt.284;99.96;1;
t_grundbuch.item.grundbuchblatt.285;99.96;1;
t_grundbuch.item.grundbuchblatt.286;99.96;1;
t_grundbuch.item.grundbuchblatt.287;99.96;1;
t_grundbuch.item.grundbuchblatt.288;99.96;1;
t_grundbuch.item.grundbuchblatt.289;99.96;1;
t_grundbuch.item.grundbuchblatt.29;99.45;12;
t_grundbuch.item.grundbuchblatt.290;99.96;1;
t_grundbuch.item.grundbuchblatt.291;99.96;1;
t_grundbuch.item.grundbuchblatt.292;99.96;1;
t_grundbuch.item.grundbuchblatt.293;99.96;1;
t_grundbuch.item.grundbuchblatt.294;99.96;1;
t_grundbuch.item.grundbuchblatt.295;99.96;1;
t_grundbuch.item.grundbuchblatt.296;99.96;1;
t_grundbuch.item.grundbuchblatt.297;99.96;1;
t_grundbuch.item.grundbuchblatt.298;99.96;1;
t_grundbuch.item.grundbuchblatt.299;99.96;1;
t_grundbuch.item.grundbuchblatt.30;99.48;11;
t_grundbuch.item.grundbuchblatt.300;99.96;1;
t_grundbuch.item.grundbuchblatt.301;99.96;1;
t_grundbuch.item.grundbuchblatt.302;99.96;1;
t_grundbuch.item.grundbuchblatt.303;99.96;1;
t_grundbuch.item.grundbuchblatt.304;99.96;1;
t_grundbuch.item.grundbuchblatt.305;99.96;1;
t_grundbuch.item.grundbuchblatt.306;99.96;1;
t_grundbuch.item.grundbuchblatt.307;99.96;1;
t_grundbuch.item.grundbuchblatt.308;99.96;1;
t_grundbuch.item.grundbuchblatt.309;99.96;1;
t_grundbuch.item.grundbuchblatt.31;99.48;11;
t_grundbuch.item.grundbuchblatt.310;99.96;1;
t_grundbuch.item.grundbuchblatt.311;99.96;1;
t_grundbuch.item.grundbuchblatt.312;99.96;1;
t_grundbuch.item.grundbuchblatt.313;99.96;1;
t_grundbuch.item.grundbuchblatt.314;99.96;1;
t_grundbuch.item.grundbuchblatt.315;99.96;1;
t_grundbuch.item.grundbuchblatt.316;99.96;1;
t_grundbuch.item.grundbuchblatt.317;99.96;1;
t_grundbuch.item.grundbuchblatt.318;99.96;1;
t_grundbuch.item.grundbuchblatt.319;99.96;1;
t_grundbuch.item.grundbuchblatt.32;99.48;11;
t_grundbuch.item.grundbuchblatt.320;99.96;1;
t_grundbuch.item.grundbuchblatt.321;99.96;1;
t_grundbuch.item.grundbuchblatt.322;99.96;1;
t_grundbuch.item.grundbuchblatt.323;99.96;1;
t_grundbuch.item.grundbuchblatt.324;99.96;1;
t_grundbuch.item.grundbuchblatt.325;99.96;1;
t_grundbuch.item.grundbuchblatt.326;99.96;1;
t_grundbuch.item.grundbuchblatt.327;99.96;1;
t_grundbuch.item.grundbuchblatt.328;99.96;1;
t_grundbuch.item.grundbuchblatt.329;99.96;1;
t_grundbuch.item.grundbuchblatt.33;99.48;11;
t_grundbuch.item.grundbuchblatt.330;99.96;1;
t_grundbuch.item.grundbuchblatt.331;99.96;1;
t_grundbuch.item.grundbuchblatt.332;99.96;1;
t_grundbuch.item.grundbuchblatt.333;99.96;1;
t_grundbuch.item.grundbuchblatt.334;99.96;1;
t_grundbuch.item.grundbuchblatt.335;99.96;1;
t_grundbuch.item.grundbuchblatt.336;99.96;1;
t_grundbuch.item.grundbuchblatt.337;99.96;1;
t_grundbuch.item.grundbuchblatt.338;99.96;1;
t_grundbuch.item.grundbuchblatt.339;99.96;1;
t_grundbuch.item.grundbuchblatt.34;99.52;10;
t_grundbuch.item.grundbuchblatt.340;99.96;1;
t_grundbuch.item.grundbuchblatt.341;99.96;1;
t_grundbuch.item.grundbuchblatt.342;99.96;1;
t_grundbuch.item.grundbuchblatt.343;99.96;1;
t_grundbuch.item.grundbuchblatt.344;99.96;1;
t_grundbuch.item.grundbuchblatt.345;99.96;1;
t_grundbuch.item.grundbuchblatt.346;99.96;1;
t_grundbuch.item.grundbuchblatt.347;99.96;1;
t_grundbuch.item.grundbuchblatt.348;99.96;1;
t_grundbuch.item.grundbuchblatt.349;99.96;1;
t_grundbuch.item.grundbuchblatt.35;99.52;10;
t_grundbuch.item.grundbuchblatt.350;99.96;1;
t_grundbuch.item.grundbuchblatt.351;99.96;1;
t_grundbuch.item.grundbuchblatt.352;99.96;1;
t_grundbuch.item.grundbuchblatt.353;99.96;1;
t_grundbuch.item.grundbuchblatt.354;99.96;1;
t_grundbuch.item.grundbuchblatt.355;99.96;1;
t_grundbuch.item.grundbuchblatt.356;99.96;1;
t_grundbuch.item.grundbuchblatt.357;99.96;1;
t_grundbuch.item.grundbuchblatt.358;99.96;1;
t_grundbuch.item.grundbuchblatt.359;99.96;1;
t_grundbuch.item.grundbuchblatt.36;99.59;9;
t_grundbuch.item.grundbuchblatt.360;99.96;1;
t_grundbuch.item.grundbuchblatt.361;99.96;1;
t_grundbuch.item.grundbuchblatt.362;99.96;1;
t_grundbuch.item.grundbuchblatt.363;99.96;1;
t_grundbuch.item.grundbuchblatt.364;99.96;1;
t_grundbuch.item.grundbuchblatt.365;99.96;1;
t_grundbuch.item.grundbuchblatt.366;99.96;1;
t_grundbuch.item.grundbuchblatt.367;99.96;1;
t_grundbuch.item.grundbuchblatt.368;99.96;1;
t_grundbuch.item.grundbuchblatt.369;99.96;1;
t_grundbuch.item.grundbuchblatt.37;99.59;9;
t_grundbuch.item.grundbuchblatt.370;99.96;1;
t_grundbuch.item.grundbuchblatt.371;99.96;1;
t_grundbuch.item.grundbuchblatt.372;99.96;1;
t_grundbuch.item.grundbuchblatt.373;99.96;1;
t_grundbuch.item.grundbuchblatt.374;99.96;1;
t_grundbuch.item.grundbuchblatt.375;99.96;1;
t_grundbuch.item.grundbuchblatt.376;99.96;1;
t_grundbuch.item.grundbuchblatt.377;99.96;1;
t_grundbuch.item.grundbuchblatt.378;99.96;1;
t_grundbuch.item.grundbuchblatt.379;99.96;1;
t_grundbuch.item.grundbuchblatt.38;99.59;9;
t_grundbuch.item.grundbuchblatt.380;99.96;1;
t_grundbuch.item.grundbuchblatt.381;99.96;1;
t_grundbuch.item.grundbuchblatt.382;99.96;1;
t_grundbuch.item.grundbuchblatt.383;99.96;1;
t_grundbuch.item.grundbuchblatt.384;99.96;1;
t_grundbuch.item.grundbuchblatt.385;99.96;1;
t_grundbuch.item.grundbuchblatt.386;99.96;1;
t_grundbuch.item.grundbuchblatt.387;99.96;1;
t_grundbuch.item.grundbuchblatt.388;99.96;1;
t_grundbuch.item.grundbuchblatt.389;99.96;1;
t_grundbuch.item.grundbuchblatt.39;99.59;9;
t_grundbuch.item.grundbuchblatt.390;99.96;1;
t_grundbuch.item.grundbuchblatt.391;99.96;1;
t_grundbuch.item.grundbuchblatt.392;99.96;1;
t_grundbuch.item.grundbuchblatt.393;99.96;1;
t_grundbuch.item.grundbuchblatt.394;99.96;1;
t_grundbuch.item.grundbuchblatt.395;99.96;1;
t_grundbuch.item.grundbuchblatt.396;99.96;1;
t_grundbuch.item.grundbuchblatt.397;99.96;1;
t_grundbuch.item.grundbuchblatt.398;99.96;1;
t_grundbuch.item.grundbuchblatt.399;99.96;1;
t_grundbuch.item.grundbuchblatt.40;99.67;8;
t_grundbuch.item.grundbuchblatt.400;99.96;1;
t_grundbuch.item.grundbuchblatt.401;99.96;1;
t_grundbuch.item.grundbuchblatt.402;99.96;1;
t_grundbuch.item.grundbuchblatt.403;99.96;1;
t_grundbuch.item.grundbuchblatt.404;99.96;1;
t_grundbuch.item.grundbuchblatt.405;99.96;1;
t_grundbuch.item.grundbuchblatt.406;99.96;1;
t_grundbuch.item.grundbuchblatt.407;99.96;1;
t_grundbuch.item.grundbuchblatt.408;99.96;1;
t_grundbuch.item.grundbuchblatt.409;99.96;1;
t_grundbuch.item.grundbuchblatt.41;99.67;8;
t_grundbuch.item.grundbuchblatt.410;99.96;1;
t_grundbuch.item.grundbuchblatt.411;99.96;1;
t_grundbuch.item.grundbuchblatt.412;99.96;1;
t_grundbuch.item.grundbuchblatt.413;99.96;1;
t_grundbuch.item.grundbuchblatt.414;99.96;1;
t_grundbuch.item.grundbuchblatt.415;99.96;1;
t_grundbuch.item.grundbuchblatt.416;99.96;1;
t_grundbuch.item.grundbuchblatt.417;99.96;1;
t_grundbuch.item.grundbuchblatt.418;99.96;1;
t_grundbuch.item.grundbuchblatt.419;99.96;1;
t_grundbuch.item.grundbuchblatt.42;99.67;8;
t_grundbuch.item.grundbuchblatt.420;99.96;1;
t_grundbuch.item.grundbuchblatt.421;99.96;1;
t_grundbuch.item.grundbuchblatt.422;99.96;1;
t_grundbuch.item.grundbuchblatt.423;99.96;1;
t_grundbuch.item.grundbuchblatt.424;99.96;1;
t_grundbuch.item.grundbuchblatt.425;99.96;1;
t_grundbuch.item.grundbuchblatt.426;99.96;1;
t_grundbuch.item.grundbuchblatt.427;99.96;1;
t_grundbuch.item.grundbuchblatt.428;99.96;1;
t_grundbuch.item.grundbuchblatt.429;99.96;1;
t_grundbuch.item.grundbuchblatt.43;99.67;8;
t_grundbuch.item.grundbuchblatt.430;99.96;1;
t_grundbuch.item.grundbuchblatt.431;99.96;1;
t_grundbuch.item.grundbuchblatt.432;99.96;1;
t_grundbuch.item.grundbuchblatt.433;99.96;1;
t_grundbuch.item.grundbuchblatt.434;99.96;1;
t_grundbuch.item.grundbuchblatt.435;99.96;1;
t_grundbuch.item.grundbuchblatt.436;99.96;1;
t_grundbuch.item.grundbuchblatt.437;99.96;1;
t_grundbuch.item.grundbuchblatt.438;99.96;1;
t_grundbuch.item.grundbuchblatt.439;99.96;1;
t_grundbuch.item.grundbuchblatt.44;99.67;8;
t_grundbuch.item.grundbuchblatt.440;99.96;1;
t_grundbuch.item.grundbuchblatt.441;99.96;1;
t_grundbuch.item.grundbuchblatt.442;99.96;1;
t_grundbuch.item.grundbuchblatt.443;99.96;1;
t_grundbuch.item.grundbuchblatt.444;99.96;1;
t_grundbuch.item.grundbuchblatt.445;99.96;1;
t_grundbuch.item.grundbuchblatt.446;99.96;1;
t_grundbuch.item.grundbuchblatt.447;99.96;1;
t_grundbuch.item.grundbuchblatt.448;99.96;1;
t_grundbuch.item.grundbuchblatt.449;99.96;1;
t_grundbuch.item.grundbuchblatt.45;99.67;8;
t_grundbuch.item.grundbuchblatt.450;99.96;1;
t_grundbuch.item.grundbuchblatt.451;99.96;1;
t_grundbuch.item.grundbuchblatt.452;99.96;1;
t_grundbuch.item.grundbuchblatt.453;99.96;1;
t_grundbuch.item.grundbuchblatt.454;99.96;1;
t_grundbuch.item.grundbuchblatt.455;99.96;1;
t_grundbuch.item.grundbuchblatt.456;99.96;1;
t_grundbuch.item.grundbuchblatt.457;99.96;1;
t_grundbuch.item.grundbuchblatt.458;99.96;1;
t_grundbuch.item.grundbuchblatt.459;99.96;1;
t_grundbuch.item.grundbuchblatt.46;99.71;7;
t_grundbuch.item.grundbuchblatt.460;99.96;1;
t_grundbuch.item.grundbuchblatt.461;99.96;1;
t_grundbuch.item.grundbuchblatt.462;99.96;1;
t_grundbuch.item.grundbuchblatt.463;99.96;1;
t_grundbuch.item.grundbuchblatt.464;99.96;1;
t_grundbuch.item.grundbuchblatt.465;99.96;1;
t_grundbuch.item.grundbuchblatt.466;99.96;1;
t_grundbuch.item.grundbuchblatt.467;99.96;1;
t_grundbuch.item.grundbuchblatt.468;99.96;1;
t_grundbuch.item.grundbuchblatt.469;99.96;1;
t_grundbuch.item.grundbuchblatt.47;99.71;7;
t_grundbuch.item.grundbuchblatt.470;99.96;1;
t_grundbuch.item.grundbuchblatt.471;99.96;1;
t_grundbuch.item.grundbuchblatt.472;99.96;1;
t_grundbuch.item.grundbuchblatt.473;99.96;1;
t_grundbuch.item.grundbuchblatt.474;99.96;1;
t_grundbuch.item.grundbuchblatt.475;99.96;1;
t_grundbuch.item.grundbuchblatt.476;99.96;1;
t_grundbuch.item.grundbuchblatt.477;99.96;1;
t_grundbuch.item.grundbuchblatt.478;99.96;1;
t_grundbuch.item.grundbuchblatt.479;99.96;1;
t_grundbuch.item.grundbuchblatt.48;99.71;7;
t_grundbuch.item.grundbuchblatt.480;99.96;1;
t_grundbuch.item.grundbuchblatt.481;99.96;1;
t_grundbuch.item.grundbuchblatt.482;99.96;1;
t_grundbuch.item.grundbuchblatt.483;99.96;1;
t_grundbuch.item.grundbuchblatt.484;99.96;1;
t_grundbuch.item.grundbuchblatt.485;99.96;1;
t_grundbuch.item.grundbuchblatt.486;99.96;1;
t_grundbuch.item.grundbuchblatt.487;99.96;1;
t_grundbuch.item.grundbuchblatt.488;99.96;1;
t_grundbuch.item.grundbuchblatt.489;99.96;1;
t_grundbuch.item.grundbuchblatt.49;99.71;7;
t_grundbuch.item.grundbuchblatt.490;99.96;1;
t_grundbuch.item.grundbuchblatt.491;99.96;1;
t_grundbuch.item.grundbuchblatt.492;99.96;1;
t_grundbuch.item.grundbuchblatt.493;99.96;1;
t_grundbuch.item.grundbuchblatt.494;99.96;1;
t_grundbuch.item.grundbuchblatt.495;99.96;1;
t_grundbuch.item.grundbuchblatt.496;99.96;1;
t_grundbuch.item.grundbuchblatt.497;99.96;1;
t_grundbuch.item.grundbuchblatt.498;99.96;1;
t_grundbuch.item.grundbuchblatt.499;99.96;1;
t_grundbuch.item.grundbuchblatt.50;99.71;7;
t_grundbuch.item.grundbuchblatt.500;99.96;1;
t_grundbuch.item.grundbuchblatt.501;99.96;1;
t_grundbuch.item.grundbuchblatt.502;99.96;1;
t_grundbuch.item.grundbuchblatt.503;99.96;1;
t_grundbuch.item.grundbuchblatt.504;99.96;1;
t_grundbuch.item.grundbuchblatt.505;99.96;1;
t_grundbuch.item.grundbuchblatt.506;99.96;1;
t_grundbuch.item.grundbuchblatt.507;99.96;1;
t_grundbuch.item.grundbuchblatt.508;99.96;1;
t_grundbuch.item.grundbuchblatt.509;99.96;1;
t_grundbuch.item.grundbuchblatt.51;99.71;7;
t_grundbuch.item.grundbuchblatt.510;99.96;1;
t_grundbuch.item.grundbuchblatt.511;99.96;1;
t_grundbuch.item.grundbuchblatt.512;99.96;1;
t_grundbuch.item.grundbuchblatt.513;99.96;1;
t_grundbuch.item.grundbuchblatt.514;99.96;1;
t_grundbuch.item.grundbuchblatt.515;99.96;1;
t_grundbuch.item.grundbuchblatt.516;99.96;1;
t_grundbuch.item.grundbuchblatt.517;99.96;1;
t_grundbuch.item.grundbuchblatt.518;99.96;1;
t_grundbuch.item.grundbuchblatt.519;99.96;1;
t_grundbuch.item.grundbuchblatt.52;99.71;7;
